country,day,month,year
Australia,25,12,2019
Bosnia and Herzegovina,25,12,2019
Brazil,25,12,2019
Bulgaria,25,12,2019
Canada,25,12,2019
Colombia,25,12,2019
Croatia,25,12,2019
Cyprus,25,12,2019
El Salvador,25,12,2019
France,25,12,2019
Georgia,25,12,2019
Greece,25,12,2019
Guatemala,25,12,2019
Hong Kong,25,12,2019
India,25,12,2019
Indonesia,25,12,2019
Ireland,25,12,2019
Italy,25,12,2019
Jamaica,25,12,2019
Japan,25,12,2019
Lebanon,25,12,2019
Macau,25,12,2019
Malaysia,25,12,2019
Malta,25,12,2019
Mexico,25,12,2019
Moldova,25,12,2019
Netherlands,25,12,2019
New Zealand,25,12,2019
Nigeria,25,12,2019
Pakistan,25,12,2019
Philippines,25,12,2019
Portugal,25,12,2019
Romania,25,12,2019
Singapore,25,12,2019
South Africa,25,12,2019
South Korea,25,12,2019
Spain,25,12,2019
Ukraine,25,12,2019
United Kingdom,25,12,2019
United States,25,12,2019
Venezuela,25,12,2019
Australia,25,12,2018
Bosnia and Herzegovina,25,12,2018
Brazil,25,12,2018
Bulgaria,25,12,2018
Canada,25,12,2018
Colombia,25,12,2018
Croatia,25,12,2018
Cyprus,25,12,2018
El Salvador,25,12,2018
France,25,12,2018
Georgia,25,12,2018
Greece,25,12,2018
Guatemala,25,12,2018
Hong Kong,25,12,2018
India,25,12,2018
Indonesia,25,12,2018
Ireland,25,12,2018
Italy,25,12,2018
Jamaica,25,12,2018
Japan,25,12,2018
Lebanon,25,12,2018
Macau,25,12,2018
Malaysia,25,12,2018
Malta,25,12,2018
Mexico,25,12,2018
Moldova,25,12,2018
Netherlands,25,12,2018
New Zealand,25,12,2018
Nigeria,25,12,2018
Pakistan,25,12,2018
Philippines,25,12,2018
Portugal,25,12,2018
Romania,25,12,2018
Singapore,25,12,2018
South Africa,25,12,2018
South Korea,25,12,2018
Spain,25,12,2018
Ukraine,25,12,2018
United Kingdom,25,12,2018
United States,25,12,2018
Venezuela,25,12,2018
Australia,25,12,2017
Bosnia and Herzegovina,25,12,2017
Brazil,25,12,2017
Bulgaria,25,12,2017
Canada,25,12,2017
Colombia,25,12,2017
Croatia,25,12,2017
Cyprus,25,12,2017
El Salvador,25,12,2017
France,25,12,2017
Georgia,25,12,2017
Greece,25,12,2017
Guatemala,25,12,2017
Hong Kong,25,12,2017
India,25,12,2017
Indonesia,25,12,2017
Ireland,25,12,2017
Italy,25,12,2017
Jamaica,25,12,2017
Japan,25,12,2017
Lebanon,25,12,2017
Macau,25,12,2017
Malaysia,25,12,2017
Malta,25,12,2017
Mexico,25,12,2017
Moldova,25,12,2017
Netherlands,25,12,2017
New Zealand,25,12,2017
Nigeria,25,12,2017
Pakistan,25,12,2017
Philippines,25,12,2017
Portugal,25,12,2017
Romania,25,12,2017
Singapore,25,12,2017
South Africa,25,12,2017
South Korea,25,12,2017
Spain,25,12,2017
Ukraine,25,12,2017
United Kingdom,25,12,2017
United States,25,12,2017
Venezuela,25,12,2017
Australia,25,12,2016
Bosnia and Herzegovina,25,12,2016
Brazil,25,12,2016
Bulgaria,25,12,2016
Canada,25,12,2016
Colombia,25,12,2016
Croatia,25,12,2016
Cyprus,25,12,2016
El Salvador,25,12,2016
France,25,12,2016
Georgia,25,12,2016
Greece,25,12,2016
Guatemala,25,12,2016
Hong Kong,25,12,2016
India,25,12,2016
Indonesia,25,12,2016
Ireland,25,12,2016
Italy,25,12,2016
Jamaica,25,12,2016
Japan,25,12,2016
Lebanon,25,12,2016
Macau,25,12,2016
Malaysia,25,12,2016
Malta,25,12,2016
Mexico,25,12,2016
Moldova,25,12,2016
Netherlands,25,12,2016
New Zealand,25,12,2016
Nigeria,25,12,2016
Pakistan,25,12,2016
Philippines,25,12,2016
Portugal,25,12,2016
Romania,25,12,2016
Singapore,25,12,2016
South Africa,25,12,2016
South Korea,25,12,2016
Spain,25,12,2016
Ukraine,25,12,2016
United Kingdom,25,12,2016
United States,25,12,2016
Venezuela,25,12,2016
Australia,25,12,2015
Bosnia and Herzegovina,25,12,2015
Brazil,25,12,2015
Bulgaria,25,12,2015
Canada,25,12,2015
Colombia,25,12,2015
Croatia,25,12,2015
Cyprus,25,12,2015
El Salvador,25,12,2015
France,25,12,2015
Georgia,25,12,2015
Greece,25,12,2015
Guatemala,25,12,2015
Hong Kong,25,12,2015
India,25,12,2015
Indonesia,25,12,2015
Ireland,25,12,2015
Italy,25,12,2015
Jamaica,25,12,2015
Japan,25,12,2015
Lebanon,25,12,2015
Macau,25,12,2015
Malaysia,25,12,2015
Malta,25,12,2015
Mexico,25,12,2015
Moldova,25,12,2015
Netherlands,25,12,2015
New Zealand,25,12,2015
Nigeria,25,12,2015
Pakistan,25,12,2015
Philippines,25,12,2015
Portugal,25,12,2015
Romania,25,12,2015
Singapore,25,12,2015
South Africa,25,12,2015
South Korea,25,12,2015
Spain,25,12,2015
Ukraine,25,12,2015
United Kingdom,25,12,2015
United States,25,12,2015
Venezuela,25,12,2015
Australia,25,12,2014
Bosnia and Herzegovina,25,12,2014
Brazil,25,12,2014
Bulgaria,25,12,2014
Canada,25,12,2014
Colombia,25,12,2014
Croatia,25,12,2014
Cyprus,25,12,2014
El Salvador,25,12,2014
France,25,12,2014
Georgia,25,12,2014
Greece,25,12,2014
Guatemala,25,12,2014
Hong Kong,25,12,2014
India,25,12,2014
Indonesia,25,12,2014
Ireland,25,12,2014
Italy,25,12,2014
Jamaica,25,12,2014
Japan,25,12,2014
Lebanon,25,12,2014
Macau,25,12,2014
Malaysia,25,12,2014
Malta,25,12,2014
Mexico,25,12,2014
Moldova,25,12,2014
Netherlands,25,12,2014
New Zealand,25,12,2014
Nigeria,25,12,2014
Pakistan,25,12,2014
Philippines,25,12,2014
Portugal,25,12,2014
Romania,25,12,2014
Singapore,25,12,2014
South Africa,25,12,2014
South Korea,25,12,2014
Spain,25,12,2014
Ukraine,25,12,2014
United Kingdom,25,12,2014
United States,25,12,2014
Venezuela,25,12,2014
